"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",66.99
1,"ABIM",66.99
2,"ADJUMANI",22.91
3,"AGAGO",64.41
4,"AGAGO",64.41
5,"ALEBTONG",63.12
6,"ALEBTONG",63.12
7,"AMOLATAR",45.78
8,"AMOLATAR",45.78
9,"AMUDAT",79.36
10,"AMUDAT",79.36
11,"AMURU",58.86
12,"APAC",61.18
13,"APAC",61.18
14,"ARUA",69.32
15,"ARUA",69.32
16,"BUDUDA",75.5
17,"BUDUDA",75.5
18,"BUGIRI",62.6
19,"BUGIRI",62.6
20,"BUGWERI",81.55
21,"BUHWEJU",74.93
22,"BUHWEJU",74.93
23,"BUIKWE",65.79
24,"BUIKWE",65.79
25,"BUKEDEA",57.03
26,"BUKEDEA",57.03
27,"BUKOMANSIMBI",49.33
28,"BUKOMANSIMBI",49.33
29,"BULAMBULI",54.62
30,"BULAMBULI",54.62
31,"BUNYANGABU",72.1
32,"BUNYANGABU",72.1
33,"BUSHENYI",76
34,"BUSHENYI",76
35,"BUSIA",60.78
36,"BUSIA",60.78
37,"BUTALEJA",55.75
38,"BUTALEJA",55.75
39,"BUTAMBALA",60.22
40,"BUTAMBALA",60.22
41,"BUTEBO",41.25
42,"BUVUMA",44.54
43,"BUVUMA",44.54
44,"BUYENDE",58.33
45,"BUYENDE",58.33
46,"DOKOLO",71.77
47,"DOKOLO",71.77
48,"GULU",61.82
49,"GULU",61.82
50,"HOIMA",67.06
51,"HOIMA",67.06
52,"IBANDA",79.73
53,"IBANDA",79.73
54,"IGANGA",69.86
55,"IGANGA",69.86
56,"ISINGIRO",61.98
57,"ISINGIRO",61.98
58,"JINJA",68.39
59,"JINJA",68.39
60,"KAABONG",68.96
61,"KAABONG",68.96
62,"KABALE",82.37
63,"KABALE",82.37
64,"KABAROLE",79.6
65,"KABAROLE",79.6
66,"KAGADI",42.54
67,"KAGADI",42.54
68,"KAKUMIRO",66.17
69,"KAKUMIRO",66.17
70,"KALANGALA",67.63
71,"KALIRO",58.64
72,"KALIRO",58.64
73,"KALUNGU",62.11
74,"KALUNGU",62.11
75,"KAMPALA",67.19
76,"KAMPALA",67.19
77,"KAMULI",57.1
78,"KAMULI",57.1
79,"KAMWENGE",64.83
80,"KAMWENGE",64.83
81,"KANUNGU",75.57
82,"KANUNGU",75.57
83,"KAPCHORWA",88.71
84,"KAPELEBYONG",60.51
85,"KAPELEBYONG",60.51
86,"KASESE",57.55
87,"KASESE",57.55
88,"KASSANDA",49.74
89,"KASSANDA",49.74
90,"KATAKWI",68
91,"KATAKWI",68
92,"KAYUNGA",56.85
93,"KAYUNGA",56.85
94,"KIBAALE",43.92
95,"KIBOGA",47.17
96,"KIBOGA",47.17
97,"KIBUKU",46.89
98,"KIKUUBE",71.11
99,"KIKUUBE",71.11
100,"KIRUHURA",85.65
101,"KIRUHURA",85.65
102,"KIRYANDONGO",42.69
103,"KIRYANDONGO",42.69
104,"KISORO",67.3
105,"KISORO",67.3
106,"KITGUM",69.22
107,"KITGUM",69.22
108,"KOBOKO",66.75
109,"KOBOKO",66.75
110,"KOLE",57.53
111,"KOLE",57.53
112,"KOTIDO",74.24
113,"KOTIDO",74.24
114,"KUMI",59.06
115,"KUMI",59.06
116,"KWANIA",82.4
117,"KWANIA",82.4
118,"KWEEN",49.02
119,"KYANKWANZI",69.11
120,"KYANKWANZI",69.11
121,"KYEGEGWA",79.8
122,"KYEGEGWA",79.8
123,"KYENJOJO",78.57
124,"KYENJOJO",78.57
125,"KYOTERA",57.85
126,"KYOTERA",57.85
127,"LAMWO",7.87
128,"LIRA",51.8
129,"LIRA",51.8
130,"LUUKA",59.88
131,"LUUKA",59.88
132,"LUWERO",60.62
133,"LUWERO",60.62
134,"LWENGO",58.09
135,"LWENGO",58.09
136,"LYANTONDE",55.07
137,"MANAFWA",67.5
138,"MANAFWA",67.5
139,"MARACHA",76.61
140,"MARACHA",76.61
141,"MASAKA",67.73
142,"MASAKA",67.73
143,"MASINDI",70.99
144,"MASINDI",70.99
145,"MAYUGE",44.2
146,"MAYUGE",44.2
147,"MBALE",76.12
148,"MBALE",76.12
149,"MBARARA",71.7
150,"MBARARA",71.7
151,"MITOOMA",66.73
152,"MITOOMA",66.73
153,"MITYANA",55.24
154,"MITYANA",55.24
155,"MOROTO",56.47
156,"MOROTO",56.47
157,"MOYO",77.31
158,"MOYO",77.31
159,"MPIGI",68.53
160,"MPIGI",68.53
161,"MUBENDE",53.21
162,"MUBENDE",53.21
163,"MUKONO",52.49
164,"MUKONO",52.49
165,"NABILATUK",90.53
166,"NABILATUK",90.53
167,"NAKAPIRIPIRIT",73.74
168,"NAKAPIRIPIRIT",73.74
169,"NAKASEKE",74.82
170,"NAKASEKE",74.82
171,"NAMAYINGO",59.65
172,"NAMAYINGO",59.65
173,"NAMISINDWA",73.19
174,"NAMISINDWA",73.19
175,"NAMTUMBA",46.05
176,"NAMUTUMBA",73.8
177,"NAMUTUMBA",73.8
178,"NAPAK",88.82
179,"NAPAK",88.82
180,"NEBBI",57.84
181,"NEBBI",57.84
182,"NGORA",100
183,"NTOROKO",74.18
184,"NTOROKO",74.18
185,"NTUNGAMO",67.3
186,"NTUNGAMO",67.3
187,"NWOYA",19.52
188,"OMORO",56.41
189,"OMORO",56.41
190,"OTUKE",71.7
191,"OTUKE",71.7
192,"OYAM",66.66
193,"OYAM",66.66
194,"PADER",51.66
195,"PADER",51.66
196,"PAKWACH",63.6
197,"PAKWACH",63.6
198,"PALISA",98.64
199,"PALLISA",68.2
200,"PALLISA",68.2
201,"RAKAI",65.13
202,"RAKAI",65.13
203,"RUBANDA",70.34
204,"RUKIGA",45.04
205,"RUKIGA",45.04
206,"RUKINGIRI",57.61
207,"RUKUNGIRI",67.82
208,"RUKUNGIRI",67.82
209,"SERERE",45.01
210,"SERERE",45.01
211,"SHEEMA",84.57
212,"SHEEMA",84.57
213,"SIRONKO",50.68
214,"SIRONKO",50.68
215,"SOROTI",65.71
216,"SOROTI",65.71
217,"SSEMBABULE",69.75
218,"SSEMBABULE",69.75
219,"TORORO",80.38
220,"TORORO",80.38
221,"WAKISO",66.9
222,"WAKISO",66.9
223,"YUMBE",42.23
224,"YUMBE",42.23
225,"ZOMBO",59.63
226,"ZOMBO",59.63
