"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",84.26
1,"ABIM",84.26
2,"ADJUMANI",67.69
3,"AGAGO",97.48
4,"AGAGO",97.48
5,"ALEBTONG",93.26
6,"ALEBTONG",93.26
7,"AMOLATAR",98.96
8,"AMOLATAR",98.96
9,"AMUDAT",79.55
10,"AMUDAT",79.55
11,"AMURU",100
12,"APAC",97.84
13,"APAC",97.84
14,"ARUA",96.37
15,"ARUA",96.37
16,"BUDUDA",84.7
17,"BUDUDA",84.7
18,"BUGIRI",97.37
19,"BUGIRI",97.37
20,"BUGWERI",95.6
21,"BUHWEJU",100
22,"BUHWEJU",100
23,"BUIKWE",95.66
24,"BUIKWE",95.66
25,"BUKEDEA",82.71
26,"BUKEDEA",82.71
27,"BUKOMANSIMBI",97.81
28,"BUKOMANSIMBI",97.81
29,"BULAMBULI",91.14
30,"BULAMBULI",91.14
31,"BUNYANGABU",100
32,"BUNYANGABU",100
33,"BUSHENYI",99.84
34,"BUSHENYI",99.84
35,"BUSIA",96.34
36,"BUSIA",96.34
37,"BUTALEJA",97.55
38,"BUTALEJA",97.55
39,"BUTAMBALA",97.26
40,"BUTAMBALA",97.26
41,"BUTEBO",100
42,"BUVUMA",75.45
43,"BUVUMA",75.45
44,"BUYENDE",94.55
45,"BUYENDE",94.55
46,"DOKOLO",99.43
47,"DOKOLO",99.43
48,"GULU",91.35
49,"GULU",91.35
50,"HOIMA",100
51,"HOIMA",100
52,"IBANDA",99.66
53,"IBANDA",99.66
54,"IGANGA",96.25
55,"IGANGA",96.25
56,"ISINGIRO",100
57,"ISINGIRO",100
58,"JINJA",99.1
59,"JINJA",99.1
60,"KAABONG",93.38
61,"KAABONG",93.38
62,"KABALE",100
63,"KABALE",100
64,"KABAROLE",98.16
65,"KABAROLE",98.16
66,"KAGADI",100
67,"KAGADI",100
68,"KAKUMIRO",97.44
69,"KAKUMIRO",97.44
70,"KALANGALA",100
71,"KALIRO",93.86
72,"KALIRO",93.86
73,"KALUNGU",99
74,"KALUNGU",99
75,"KAMPALA",98.12
76,"KAMPALA",98.12
77,"KAMULI",89.44
78,"KAMULI",89.44
79,"KAMWENGE",93.4
80,"KAMWENGE",93.4
81,"KANUNGU",100
82,"KANUNGU",100
83,"KAPCHORWA",100
84,"KAPELEBYONG",96.53
85,"KAPELEBYONG",96.53
86,"KASESE",98.28
87,"KASESE",98.28
88,"KASSANDA",100
89,"KASSANDA",100
90,"KATAKWI",94.16
91,"KATAKWI",94.16
92,"KAYUNGA",98.46
93,"KAYUNGA",98.46
94,"KIBAALE",100
95,"KIBOGA",100
96,"KIBOGA",100
97,"KIBUKU",100
98,"KIKUUBE",100
99,"KIKUUBE",100
100,"KIRUHURA",96.3
101,"KIRUHURA",96.3
102,"KIRYANDONGO",79.71
103,"KIRYANDONGO",79.71
104,"KISORO",99.63
105,"KISORO",99.63
106,"KITGUM",83.53
107,"KITGUM",83.53
108,"KOBOKO",95.2
109,"KOBOKO",95.2
110,"KOLE",97.58
111,"KOLE",97.58
112,"KOTIDO",96.32
113,"KOTIDO",96.32
114,"KUMI",86.05
115,"KUMI",86.05
116,"KWANIA",97.35
117,"KWANIA",97.35
118,"KWEEN",100
119,"KYANKWANZI",100
120,"KYANKWANZI",100
121,"KYEGEGWA",100
122,"KYEGEGWA",100
123,"KYENJOJO",100
124,"KYENJOJO",100
125,"KYOTERA",96.34
126,"KYOTERA",96.34
127,"LAMWO",86.46
128,"LIRA",97.16
129,"LIRA",97.16
130,"LUUKA",88
131,"LUUKA",88
132,"LUWERO",99.08
133,"LUWERO",99.08
134,"LWENGO",99.44
135,"LWENGO",99.44
136,"LYANTONDE",100
137,"MANAFWA",85.62
138,"MANAFWA",85.62
139,"MARACHA",96.51
140,"MARACHA",96.51
141,"MASAKA",98.75
142,"MASAKA",98.75
143,"MASINDI",98.26
144,"MASINDI",98.26
145,"MAYUGE",93.84
146,"MAYUGE",93.84
147,"MBALE",98.11
148,"MBALE",98.11
149,"MBARARA",97.51
150,"MBARARA",97.51
151,"MITOOMA",100
152,"MITOOMA",100
153,"MITYANA",99.63
154,"MITYANA",99.63
155,"MOROTO",79.22
156,"MOROTO",79.22
157,"MOYO",96.27
158,"MOYO",96.27
159,"MPIGI",98.18
160,"MPIGI",98.18
161,"MUBENDE",90.8
162,"MUBENDE",90.8
163,"MUKONO",95.4
164,"MUKONO",95.4
165,"NABILATUK",96.57
166,"NABILATUK",96.57
167,"NAKAPIRIPIRIT",97.43
168,"NAKAPIRIPIRIT",97.43
169,"NAKASEKE",98.74
170,"NAKASEKE",98.74
171,"NAMAYINGO",93.38
172,"NAMAYINGO",93.38
173,"NAMISINDWA",98.31
174,"NAMISINDWA",98.31
175,"NAMTUMBA",93.83
176,"NAMUTUMBA",100
177,"NAMUTUMBA",100
178,"NAPAK",90.51
179,"NAPAK",90.51
180,"NEBBI",98.29
181,"NEBBI",98.29
182,"NGORA",100
183,"NTOROKO",100
184,"NTOROKO",100
185,"NTUNGAMO",99.48
186,"NTUNGAMO",99.48
187,"NWOYA",84.22
188,"OMORO",90.34
189,"OMORO",90.34
190,"OTUKE",99.63
191,"OTUKE",99.63
192,"OYAM",100
193,"OYAM",100
194,"PADER",86.48
195,"PADER",86.48
196,"PAKWACH",96.7
197,"PAKWACH",96.7
198,"PALISA",100
199,"PALLISA",75.17
200,"PALLISA",75.17
201,"RAKAI",98.23
202,"RAKAI",98.23
203,"RUBANDA",100
204,"RUKIGA",100
205,"RUKIGA",100
206,"RUKINGIRI",100
207,"RUKUNGIRI",99.76
208,"RUKUNGIRI",99.76
209,"SERERE",92.65
210,"SERERE",92.65
211,"SHEEMA",100
212,"SHEEMA",100
213,"SIRONKO",100
214,"SIRONKO",100
215,"SOROTI",97.75
216,"SOROTI",97.75
217,"SSEMBABULE",98.65
218,"SSEMBABULE",98.65
219,"TORORO",95.82
220,"TORORO",95.82
221,"WAKISO",97.66
222,"WAKISO",97.66
223,"YUMBE",85.98
224,"YUMBE",85.98
225,"ZOMBO",98.82
226,"ZOMBO",98.82
