"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",86.52
1,"ABIM",86.52
2,"ADJUMANI",98.38
3,"AGAGO",90.74
4,"AGAGO",90.74
5,"ALEBTONG",84.71
6,"ALEBTONG",84.71
7,"AMOLATAR",91.42
8,"AMOLATAR",91.42
9,"AMUDAT",70.35
10,"AMUDAT",70.35
11,"AMURU",73.63
12,"APAC",95.12
13,"APAC",95.12
14,"ARUA",90.32
15,"ARUA",90.32
16,"BUDUDA",93.41
17,"BUDUDA",93.41
18,"BUGIRI",87.97
19,"BUGIRI",87.97
20,"BUGWERI",56.99
21,"BUHWEJU",97.22
22,"BUHWEJU",97.22
23,"BUIKWE",86.59
24,"BUIKWE",86.59
25,"BUKEDEA",82.51
26,"BUKEDEA",82.51
27,"BUKOMANSIMBI",93.7
28,"BUKOMANSIMBI",93.7
29,"BULAMBULI",89.27
30,"BULAMBULI",89.27
31,"BUNYANGABU",99.17
32,"BUNYANGABU",99.17
33,"BUSHENYI",93.26
34,"BUSHENYI",93.26
35,"BUSIA",68.2
36,"BUSIA",68.2
37,"BUTALEJA",87.6
38,"BUTALEJA",87.6
39,"BUTAMBALA",96.82
40,"BUTAMBALA",96.82
41,"BUTEBO",100
42,"BUVUMA",60.56
43,"BUVUMA",60.56
44,"BUYENDE",89.65
45,"BUYENDE",89.65
46,"DOKOLO",84.72
47,"DOKOLO",84.72
48,"GULU",84.72
49,"GULU",84.72
50,"HOIMA",98.98
51,"HOIMA",98.98
52,"IBANDA",95.99
53,"IBANDA",95.99
54,"IGANGA",94.92
55,"IGANGA",94.92
56,"ISINGIRO",94.51
57,"ISINGIRO",94.51
58,"JINJA",94.05
59,"JINJA",94.05
60,"KAABONG",88.92
61,"KAABONG",88.92
62,"KABALE",99.08
63,"KABALE",99.08
64,"KABAROLE",97.05
65,"KABAROLE",97.05
66,"KAGADI",93.14
67,"KAGADI",93.14
68,"KAKUMIRO",96.02
69,"KAKUMIRO",96.02
70,"KALANGALA",100
71,"KALIRO",100
72,"KALIRO",100
73,"KALUNGU",94.07
74,"KALUNGU",94.07
75,"KAMPALA",94.07
76,"KAMPALA",94.07
77,"KAMULI",85.43
78,"KAMULI",85.43
79,"KAMWENGE",81.66
80,"KAMWENGE",81.66
81,"KANUNGU",99.47
82,"KANUNGU",99.47
83,"KAPCHORWA",100
84,"KAPELEBYONG",82.71
85,"KAPELEBYONG",82.71
86,"KASESE",90.35
87,"KASESE",90.35
88,"KASSANDA",87.38
89,"KASSANDA",87.38
90,"KATAKWI",70.24
91,"KATAKWI",70.24
92,"KAYUNGA",92.85
93,"KAYUNGA",92.85
94,"KIBAALE",75.23
95,"KIBOGA",93.4
96,"KIBOGA",93.4
97,"KIBUKU",100
98,"KIKUUBE",97.34
99,"KIKUUBE",97.34
100,"KIRUHURA",85.84
101,"KIRUHURA",85.84
102,"KIRYANDONGO",79.44
103,"KIRYANDONGO",79.44
104,"KISORO",94.11
105,"KISORO",94.11
106,"KITGUM",62.48
107,"KITGUM",62.48
108,"KOBOKO",81.09
109,"KOBOKO",81.09
110,"KOLE",96.35
111,"KOLE",96.35
112,"KOTIDO",89.62
113,"KOTIDO",89.62
114,"KUMI",80.36
115,"KUMI",80.36
116,"KWANIA",98.07
117,"KWANIA",98.07
118,"KWEEN",89.33
119,"KYANKWANZI",97.96
120,"KYANKWANZI",97.96
121,"KYEGEGWA",99.97
122,"KYEGEGWA",99.97
123,"KYENJOJO",97.04
124,"KYENJOJO",97.04
125,"KYOTERA",89.68
126,"KYOTERA",89.68
127,"LAMWO",88.14
128,"LIRA",90.54
129,"LIRA",90.54
130,"LUUKA",86.46
131,"LUUKA",86.46
132,"LUWERO",98.05
133,"LUWERO",98.05
134,"LWENGO",95.47
135,"LWENGO",95.47
136,"LYANTONDE",100
137,"MANAFWA",82.01
138,"MANAFWA",82.01
139,"MARACHA",90.63
140,"MARACHA",90.63
141,"MASAKA",98.15
142,"MASAKA",98.15
143,"MASINDI",93.09
144,"MASINDI",93.09
145,"MAYUGE",81.94
146,"MAYUGE",81.94
147,"MBALE",95.73
148,"MBALE",95.73
149,"MBARARA",89.2
150,"MBARARA",89.2
151,"MITOOMA",94.3
152,"MITOOMA",94.3
153,"MITYANA",96.32
154,"MITYANA",96.32
155,"MOROTO",66.82
156,"MOROTO",66.82
157,"MOYO",90.75
158,"MOYO",90.75
159,"MPIGI",97.57
160,"MPIGI",97.57
161,"MUBENDE",87.4
162,"MUBENDE",87.4
163,"MUKONO",89.75
164,"MUKONO",89.75
165,"NABILATUK",82.97
166,"NABILATUK",82.97
167,"NAKAPIRIPIRIT",89.69
168,"NAKAPIRIPIRIT",89.69
169,"NAKASEKE",97.64
170,"NAKASEKE",97.64
171,"NAMAYINGO",78.23
172,"NAMAYINGO",78.23
173,"NAMISINDWA",93
174,"NAMISINDWA",93
175,"NAMTUMBA",98.11
176,"NAMUTUMBA",82.21
177,"NAMUTUMBA",82.21
178,"NAPAK",71.97
179,"NAPAK",71.97
180,"NEBBI",82.91
181,"NEBBI",82.91
182,"NGORA",100
183,"NTOROKO",94.74
184,"NTOROKO",94.74
185,"NTUNGAMO",92.12
186,"NTUNGAMO",92.12
187,"NWOYA",86.7
188,"OMORO",79.56
189,"OMORO",79.56
190,"OTUKE",98.11
191,"OTUKE",98.11
192,"OYAM",96.01
193,"OYAM",96.01
194,"PADER",68.54
195,"PADER",68.54
196,"PAKWACH",85.99
197,"PAKWACH",85.99
198,"PALISA",100
199,"PALLISA",60.06
200,"PALLISA",60.06
201,"RAKAI",95.27
202,"RAKAI",95.27
203,"RUBANDA",100
204,"RUKIGA",88.66
205,"RUKIGA",88.66
206,"RUKINGIRI",100
207,"RUKUNGIRI",92.26
208,"RUKUNGIRI",92.26
209,"SERERE",67.22
210,"SERERE",67.22
211,"SHEEMA",92.95
212,"SHEEMA",92.95
213,"SIRONKO",85
214,"SIRONKO",85
215,"SOROTI",82.4
216,"SOROTI",82.4
217,"SSEMBABULE",92.35
218,"SSEMBABULE",92.35
219,"TORORO",91.63
220,"TORORO",91.63
221,"WAKISO",92.06
222,"WAKISO",92.06
223,"YUMBE",59.7
224,"YUMBE",59.7
225,"ZOMBO",88.36
226,"ZOMBO",88.36
