"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",87.13
1,"ABIM",87.13
2,"ADJUMANI",95.76
3,"AGAGO",96.13
4,"AGAGO",96.13
5,"ALEBTONG",87.76
6,"ALEBTONG",87.76
7,"AMOLATAR",87.75
8,"AMOLATAR",87.75
9,"AMUDAT",91.08
10,"AMUDAT",91.08
11,"AMURU",97.03
12,"APAC",81.61
13,"APAC",81.61
14,"ARUA",85.78
15,"ARUA",85.78
16,"BUDUDA",87.62
17,"BUDUDA",87.62
18,"BUGIRI",92.46
19,"BUGIRI",92.46
20,"BUGWERI",100
21,"BUHWEJU",89.47
22,"BUHWEJU",89.47
23,"BUIKWE",87.69
24,"BUIKWE",87.69
25,"BUKEDEA",96.18
26,"BUKEDEA",96.18
27,"BUKOMANSIMBI",72.95
28,"BUKOMANSIMBI",72.95
29,"BULAMBULI",87.77
30,"BULAMBULI",87.77
31,"BUNYANGABU",99.49
32,"BUNYANGABU",99.49
33,"BUSHENYI",94.93
34,"BUSHENYI",94.93
35,"BUSIA",87.41
36,"BUSIA",87.41
37,"BUTALEJA",92.97
38,"BUTALEJA",92.97
39,"BUTAMBALA",89.04
40,"BUTAMBALA",89.04
41,"BUTEBO",96.68
42,"BUVUMA",68.21
43,"BUVUMA",68.21
44,"BUYENDE",95.02
45,"BUYENDE",95.02
46,"DOKOLO",85.64
47,"DOKOLO",85.64
48,"GULU",88.39
49,"GULU",88.39
50,"HOIMA",96.18
51,"HOIMA",96.18
52,"IBANDA",87.16
53,"IBANDA",87.16
54,"IGANGA",93.2
55,"IGANGA",93.2
56,"ISINGIRO",83.85
57,"ISINGIRO",83.85
58,"JINJA",91.54
59,"JINJA",91.54
60,"KAABONG",77.67
61,"KAABONG",77.67
62,"KABALE",91.14
63,"KABALE",91.14
64,"KABAROLE",97.32
65,"KABAROLE",97.32
66,"KAGADI",90.82
67,"KAGADI",90.82
68,"KAKUMIRO",93.67
69,"KAKUMIRO",93.67
70,"KALANGALA",100
71,"KALIRO",87.3
72,"KALIRO",87.3
73,"KALUNGU",85.36
74,"KALUNGU",85.36
75,"KAMPALA",91.78
76,"KAMPALA",91.78
77,"KAMULI",81.82
78,"KAMULI",81.82
79,"KAMWENGE",99.13
80,"KAMWENGE",99.13
81,"KANUNGU",87.3
82,"KANUNGU",87.3
83,"KAPCHORWA",90.65
84,"KAPELEBYONG",79.96
85,"KAPELEBYONG",79.96
86,"KASESE",87.41
87,"KASESE",87.41
88,"KASSANDA",78.34
89,"KASSANDA",78.34
90,"KATAKWI",80.29
91,"KATAKWI",80.29
92,"KAYUNGA",89.38
93,"KAYUNGA",89.38
94,"KIBAALE",100
95,"KIBOGA",96.32
96,"KIBOGA",96.32
97,"KIBUKU",100
98,"KIKUUBE",86.41
99,"KIKUUBE",86.41
100,"KIRUHURA",84.97
101,"KIRUHURA",84.97
102,"KIRYANDONGO",36.82
103,"KIRYANDONGO",36.82
104,"KISORO",69.08
105,"KISORO",69.08
106,"KITGUM",77.05
107,"KITGUM",77.05
108,"KOBOKO",83.86
109,"KOBOKO",83.86
110,"KOLE",73.97
111,"KOLE",73.97
112,"KOTIDO",87.7
113,"KOTIDO",87.7
114,"KUMI",85.48
115,"KUMI",85.48
116,"KWANIA",86
117,"KWANIA",86
118,"KWEEN",85.86
119,"KYANKWANZI",91.02
120,"KYANKWANZI",91.02
121,"KYEGEGWA",96.83
122,"KYEGEGWA",96.83
123,"KYENJOJO",95.6
124,"KYENJOJO",95.6
125,"KYOTERA",89.94
126,"KYOTERA",89.94
127,"LAMWO",17.76
128,"LIRA",85.95
129,"LIRA",85.95
130,"LUUKA",87.91
131,"LUUKA",87.91
132,"LUWERO",86.6
133,"LUWERO",86.6
134,"LWENGO",84.09
135,"LWENGO",84.09
136,"LYANTONDE",100
137,"MANAFWA",78.87
138,"MANAFWA",78.87
139,"MARACHA",83.18
140,"MARACHA",83.18
141,"MASAKA",88.5
142,"MASAKA",88.5
143,"MASINDI",91.06
