"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",70.86
1,"ABIM",70.86
2,"ADJUMANI",63.57
3,"AGAGO",86.78
4,"AGAGO",86.78
5,"ALEBTONG",62.15
6,"ALEBTONG",62.15
7,"AMOLATAR",55.55
8,"AMOLATAR",55.55
9,"AMUDAT",74.96
10,"AMUDAT",74.96
11,"AMURU",60.78
12,"APAC",70.41
13,"APAC",70.41
14,"ARUA",81.82
15,"ARUA",81.82
16,"BUDUDA",68.53
17,"BUDUDA",68.53
18,"BUGIRI",66.71
19,"BUGIRI",66.71
20,"BUGWERI",70.48
21,"BUHWEJU",79.3
22,"BUHWEJU",79.3
23,"BUIKWE",68.6
24,"BUIKWE",68.6
25,"BUKEDEA",73.11
26,"BUKEDEA",73.11
27,"BUKOMANSIMBI",55.79
28,"BUKOMANSIMBI",55.79
29,"BULAMBULI",58.86
30,"BULAMBULI",58.86
31,"BUNYANGABU",81.68
32,"BUNYANGABU",81.68
33,"BUSHENYI",75.07
34,"BUSHENYI",75.07
35,"BUSIA",59.17
36,"BUSIA",59.17
37,"BUTALEJA",65.83
38,"BUTALEJA",65.83
39,"BUTAMBALA",71.36
40,"BUTAMBALA",71.36
41,"BUTEBO",45.31
42,"BUVUMA",46.59
43,"BUVUMA",46.59
44,"BUYENDE",70.35
45,"BUYENDE",70.35
46,"DOKOLO",60.1
47,"DOKOLO",60.1
48,"GULU",69.34
49,"GULU",69.34
50,"HOIMA",83.05
51,"HOIMA",83.05
52,"IBANDA",83.93
53,"IBANDA",83.93
54,"IGANGA",94.25
55,"IGANGA",94.25
56,"ISINGIRO",71.24
57,"ISINGIRO",71.24
58,"JINJA",78.24
59,"JINJA",78.24
60,"KAABONG",78.54
61,"KAABONG",78.54
62,"KABALE",85.57
63,"KABALE",85.57
64,"KABAROLE",85.4
65,"KABAROLE",85.4
66,"KAGADI",63.93
67,"KAGADI",63.93
68,"KAKUMIRO",83.11
69,"KAKUMIRO",83.11
70,"KALANGALA",72.51
71,"KALIRO",82.3
72,"KALIRO",82.3
73,"KALUNGU",75.3
74,"KALUNGU",75.3
75,"KAMPALA",78.98
76,"KAMPALA",78.98
77,"KAMULI",54.88
78,"KAMULI",54.88
79,"KAMWENGE",75.46
80,"KAMWENGE",75.46
81,"KANUNGU",77.94
82,"KANUNGU",77.94
83,"KAPCHORWA",71.87
84,"KAPELEBYONG",67.75
85,"KAPELEBYONG",67.75
86,"KASESE",79.25
87,"KASESE",79.25
88,"KASSANDA",67.63
89,"KASSANDA",67.63
90,"KATAKWI",68.25
91,"KATAKWI",68.25
92,"KAYUNGA",78.74
93,"KAYUNGA",78.74
94,"KIBAALE",75.64
95,"KIBOGA",86.94
96,"KIBOGA",86.94
97,"KIBUKU",73.21
98,"KIKUUBE",86.34
99,"KIKUUBE",86.34
100,"KIRUHURA",67.9
101,"KIRUHURA",67.9
102,"KIRYANDONGO",63.3
103,"KIRYANDONGO",63.3
104,"KISORO",71.83
105,"KISORO",71.83
106,"KITGUM",55.71
107,"KITGUM",55.71
108,"KOBOKO",85.15
109,"KOBOKO",85.15
110,"KOLE",72.6
111,"KOLE",72.6
112,"KOTIDO",75.31
113,"KOTIDO",75.31
114,"KUMI",68.29
115,"KUMI",68.29
116,"KWANIA",83.63
117,"KWANIA",83.63
118,"KWEEN",61.27
119,"KYANKWANZI",91.24
120,"KYANKWANZI",91.24
121,"KYEGEGWA",88.54
122,"KYEGEGWA",88.54
123,"KYENJOJO",86.97
124,"KYENJOJO",86.97
125,"KYOTERA",66.69
126,"KYOTERA",66.69
127,"LAMWO",39.35
128,"LIRA",70.53
129,"LIRA",70.53
130,"LUUKA",87.34
131,"LUUKA",87.34
132,"LUWERO",82.63
133,"LUWERO",82.63
134,"LWENGO",75.84
135,"LWENGO",75.84
136,"LYANTONDE",91.26
137,"MANAFWA",71.75
138,"MANAFWA",71.75
139,"MARACHA",86.75
140,"MARACHA",86.75
141,"MASAKA",76.59
142,"MASAKA",76.59
143,"MASINDI",75.84
144,"MASINDI",75.84
145,"MAYUGE",55.67
146,"MAYUGE",55.67
147,"MBALE",88.99
148,"MBALE",88.99
149,"MBARARA",72.81
150,"MBARARA",72.81
151,"MITOOMA",66.1
152,"MITOOMA",66.1
153,"MITYANA",73.72
154,"MITYANA",73.72
155,"MOROTO",60.96
156,"MOROTO",60.96
157,"MOYO",83.18
158,"MOYO",83.18
159,"MPIGI",87.87
160,"MPIGI",87.87
161,"MUBENDE",70.6
162,"MUBENDE",70.6
163,"MUKONO",64.56
164,"MUKONO",64.56
165,"NABILATUK",81.18
166,"NABILATUK",81.18
167,"NAKAPIRIPIRIT",81.64
168,"NAKAPIRIPIRIT",81.64
169,"NAKASEKE",93.61
170,"NAKASEKE",93.61
171,"NAMAYINGO",58.95
172,"NAMAYINGO",58.95
173,"NAMISINDWA",73.32
174,"NAMISINDWA",73.32
175,"NAMTUMBA",56.65
176,"NAMUTUMBA",69.81
177,"NAMUTUMBA",69.81
178,"NAPAK",76.42
179,"NAPAK",76.42
180,"NEBBI",74.17
181,"NEBBI",74.17
182,"NGORA",100
183,"NTOROKO",78.59
184,"NTOROKO",78.59
185,"NTUNGAMO",73.19
186,"NTUNGAMO",73.19
187,"NWOYA",32.6
188,"OMORO",64.19
189,"OMORO",64.19
190,"OTUKE",86.96
191,"OTUKE",86.96
192,"OYAM",74.64
193,"OYAM",74.64
194,"PADER",45.64
195,"PADER",45.64
196,"PAKWACH",75.08
197,"PAKWACH",75.08
198,"PALISA",98.6
199,"PALLISA",56.81
200,"PALLISA",56.81
201,"RAKAI",80.75
202,"RAKAI",80.75
203,"RUBANDA",90.3
204,"RUKIGA",66.18
205,"RUKIGA",66.18
206,"RUKINGIRI",65.47
207,"RUKUNGIRI",76.74
208,"RUKUNGIRI",76.74
209,"SERERE",60.38
210,"SERERE",60.38
211,"SHEEMA",83.65
212,"SHEEMA",83.65
213,"SIRONKO",59.73
214,"SIRONKO",59.73
215,"SOROTI",75.59
216,"SOROTI",75.59
217,"SSEMBABULE",78.24
218,"SSEMBABULE",78.24
219,"TORORO",79.34
220,"TORORO",79.34
221,"WAKISO",76.03
222,"WAKISO",76.03
223,"YUMBE",46.29
224,"YUMBE",46.29
225,"ZOMBO",80.26
226,"ZOMBO",80.26
