"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",75.84
1,"ABIM",75.84
2,"ADJUMANI",41.55
3,"AGAGO",76.41
4,"AGAGO",76.41
5,"ALEBTONG",58.17
6,"ALEBTONG",58.17
7,"AMOLATAR",54.54
8,"AMOLATAR",54.54
9,"AMUDAT",59.5
10,"AMUDAT",59.5
11,"AMURU",60.73
12,"APAC",62.54
13,"APAC",62.54
14,"ARUA",73.94
15,"ARUA",73.94
16,"BUDUDA",58.67
17,"BUDUDA",58.67
18,"BUGIRI",59.15
19,"BUGIRI",59.15
20,"BUGWERI",44.56
21,"BUHWEJU",79.77
22,"BUHWEJU",79.77
23,"BUIKWE",64.13
24,"BUIKWE",64.13
25,"BUKEDEA",59.37
26,"BUKEDEA",59.37
27,"BUKOMANSIMBI",55.18
28,"BUKOMANSIMBI",55.18
29,"BULAMBULI",53.93
30,"BULAMBULI",53.93
31,"BUNYANGABU",74.63
32,"BUNYANGABU",74.63
33,"BUSHENYI",71.25
34,"BUSHENYI",71.25
35,"BUSIA",50.46
36,"BUSIA",50.46
37,"BUTALEJA",59.75
38,"BUTALEJA",59.75
39,"BUTAMBALA",64
40,"BUTAMBALA",64
41,"BUTEBO",47.59
42,"BUVUMA",39.73
43,"BUVUMA",39.73
44,"BUYENDE",57.4
45,"BUYENDE",57.4
46,"DOKOLO",61.47
47,"DOKOLO",61.47
48,"GULU",66.78
49,"GULU",66.78
50,"HOIMA",74.99
51,"HOIMA",74.99
52,"IBANDA",82.47
53,"IBANDA",82.47
54,"IGANGA",76.33
55,"IGANGA",76.33
56,"ISINGIRO",73.45
57,"ISINGIRO",73.45
58,"JINJA",69.4
59,"JINJA",69.4
60,"KAABONG",87.04
61,"KAABONG",87.04
62,"KABALE",92.56
63,"KABALE",92.56
64,"KABAROLE",79.55
65,"KABAROLE",79.55
66,"KAGADI",57.81
67,"KAGADI",57.81
68,"KAKUMIRO",77.55
69,"KAKUMIRO",77.55
70,"KALANGALA",71.17
71,"KALIRO",66.37
72,"KALIRO",66.37
73,"KALUNGU",67.7
74,"KALUNGU",67.7
75,"KAMPALA",71.56
76,"KAMPALA",71.56
77,"KAMULI",57.68
78,"KAMULI",57.68
79,"KAMWENGE",70.06
80,"KAMWENGE",70.06
81,"KANUNGU",78.87
82,"KANUNGU",78.87
83,"KAPCHORWA",77.01
84,"KAPELEBYONG",63.52
85,"KAPELEBYONG",63.52
86,"KASESE",69.41
87,"KASESE",69.41
88,"KASSANDA",60.08
89,"KASSANDA",60.08
90,"KATAKWI",63.33
91,"KATAKWI",63.33
92,"KAYUNGA",64.85
93,"KAYUNGA",64.85
94,"KIBAALE",50.16
95,"KIBOGA",79.3
96,"KIBOGA",79.3
97,"KIBUKU",62.64
98,"KIKUUBE",79.51
99,"KIKUUBE",79.51
100,"KIRUHURA",64.76
101,"KIRUHURA",64.76
102,"KIRYANDONGO",59.24
103,"KIRYANDONGO",59.24
104,"KISORO",74.93
105,"KISORO",74.93
106,"KITGUM",58.49
107,"KITGUM",58.49
108,"KOBOKO",66.98
109,"KOBOKO",66.98
110,"KOLE",57.2
111,"KOLE",57.2
112,"KOTIDO",81.87
113,"KOTIDO",81.87
114,"KUMI",62.3
115,"KUMI",62.3
116,"KWANIA",85.46
117,"KWANIA",85.46
118,"KWEEN",58.14
119,"KYANKWANZI",91.03
120,"KYANKWANZI",91.03
121,"KYEGEGWA",86.75
122,"KYEGEGWA",86.75
123,"KYENJOJO",81.33
124,"KYENJOJO",81.33
125,"KYOTERA",60.28
126,"KYOTERA",60.28
127,"LAMWO",36.93
128,"LIRA",61.68
129,"LIRA",61.68
130,"LUUKA",64.05
131,"LUUKA",64.05
132,"LUWERO",72.25
133,"LUWERO",72.25
134,"LWENGO",72.44
135,"LWENGO",72.44
136,"LYANTONDE",91.89
137,"MANAFWA",71.64
138,"MANAFWA",71.64
139,"MARACHA",78.16
140,"MARACHA",78.16
141,"MASAKA",75.73
142,"MASAKA",75.73
143,"MASINDI",70.79
144,"MASINDI",70.79
145,"MAYUGE",51.14
146,"MAYUGE",51.14
147,"MBALE",82.95
148,"MBALE",82.95
149,"MBARARA",67.33
150,"MBARARA",67.33
151,"MITOOMA",66.67
152,"MITOOMA",66.67
153,"MITYANA",63.84
154,"MITYANA",63.84
155,"MOROTO",63.2
156,"MOROTO",63.2
157,"MOYO",80.96
158,"MOYO",80.96
159,"MPIGI",77.52
160,"MPIGI",77.52
161,"MUBENDE",61.92
162,"MUBENDE",61.92
163,"MUKONO",57.51
164,"MUKONO",57.51
165,"NABILATUK",86.56
166,"NABILATUK",86.56
167,"NAKAPIRIPIRIT",84.12
168,"NAKAPIRIPIRIT",84.12
169,"NAKASEKE",91.09
170,"NAKASEKE",91.09
171,"NAMAYINGO",51.57
172,"NAMAYINGO",51.57
173,"NAMISINDWA",73.09
174,"NAMISINDWA",73.09
175,"NAMTUMBA",53.06
176,"NAMUTUMBA",54.64
177,"NAMUTUMBA",54.64
178,"NAPAK",78.57
179,"NAPAK",78.57
180,"NEBBI",63.77
181,"NEBBI",63.77
182,"NGORA",100
183,"NTOROKO",74.65
184,"NTOROKO",74.65
185,"NTUNGAMO",72.87
186,"NTUNGAMO",72.87
187,"NWOYA",24.89
188,"OMORO",58.92
189,"OMORO",58.92
190,"OTUKE",74.4
191,"OTUKE",74.4
192,"OYAM",65.04
193,"OYAM",65.04
194,"PADER",46.22
195,"PADER",46.22
196,"PAKWACH",66.66
197,"PAKWACH",66.66
198,"PALISA",94.62
199,"PALLISA",51.57
200,"PALLISA",51.57
201,"RAKAI",80.32
202,"RAKAI",80.32
203,"RUBANDA",100
204,"RUKIGA",72.16
205,"RUKIGA",72.16
206,"RUKINGIRI",58.23
207,"RUKUNGIRI",77.61
208,"RUKUNGIRI",77.61
209,"SERERE",50.41
210,"SERERE",50.41
211,"SHEEMA",83.03
212,"SHEEMA",83.03
213,"SIRONKO",56.14
214,"SIRONKO",56.14
215,"SOROTI",68.22
216,"SOROTI",68.22
217,"SSEMBABULE",70.4
218,"SSEMBABULE",70.4
219,"TORORO",77.85
220,"TORORO",77.85
221,"WAKISO",69.73
222,"WAKISO",69.73
223,"YUMBE",40.99
224,"YUMBE",40.99
225,"ZOMBO",68.51
226,"ZOMBO",68.51
