"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",69.68
1,"ABIM",69.68
2,"ADJUMANI",67.63
3,"AGAGO",76.3
4,"AGAGO",76.3
5,"ALEBTONG",70.04
6,"ALEBTONG",70.04
7,"AMOLATAR",80.77
8,"AMOLATAR",80.77
9,"AMUDAT",67.34
10,"AMUDAT",67.34
11,"AMURU",64.42
12,"APAC",91.1
13,"APAC",91.1
14,"ARUA",84.71
15,"ARUA",84.71
16,"BUDUDA",84.9
17,"BUDUDA",84.9
18,"BUGIRI",85.5
19,"BUGIRI",85.5
20,"BUGWERI",53.96
21,"BUHWEJU",77.29
22,"BUHWEJU",77.29
23,"BUIKWE",83.62
24,"BUIKWE",83.62
25,"BUKEDEA",73.4
26,"BUKEDEA",73.4
27,"BUKOMANSIMBI",85.62
28,"BUKOMANSIMBI",85.62
29,"BULAMBULI",73.88
30,"BULAMBULI",73.88
31,"BUNYANGABU",80.17
32,"BUNYANGABU",80.17
33,"BUSHENYI",80.56
34,"BUSHENYI",80.56
35,"BUSIA",82.93
36,"BUSIA",82.93
37,"BUTALEJA",75.44
38,"BUTALEJA",75.44
39,"BUTAMBALA",89.24
40,"BUTAMBALA",89.24
41,"BUTEBO",99.76
42,"BUVUMA",51.51
43,"BUVUMA",51.51
44,"BUYENDE",85.63
45,"BUYENDE",85.63
46,"DOKOLO",72.53
47,"DOKOLO",72.53
48,"GULU",73.7
49,"GULU",73.7
50,"HOIMA",92.63
51,"HOIMA",92.63
52,"IBANDA",87.13
53,"IBANDA",87.13
54,"IGANGA",93.7
55,"IGANGA",93.7
56,"ISINGIRO",84.24
57,"ISINGIRO",84.24
58,"JINJA",90.39
59,"JINJA",90.39
60,"KAABONG",63.3
61,"KAABONG",63.3
62,"KABALE",93.26
63,"KABALE",93.26
64,"KABAROLE",94.57
65,"KABAROLE",94.57
66,"KAGADI",83.54
67,"KAGADI",83.54
68,"KAKUMIRO",91.13
69,"KAKUMIRO",91.13
70,"KALANGALA",100
71,"KALIRO",90.33
72,"KALIRO",90.33
73,"KALUNGU",89.32
74,"KALUNGU",89.32
75,"KAMPALA",85.01
76,"KAMPALA",85.01
77,"KAMULI",81.74
78,"KAMULI",81.74
79,"KAMWENGE",77.63
80,"KAMWENGE",77.63
81,"KANUNGU",82.58
82,"KANUNGU",82.58
83,"KAPCHORWA",100
84,"KAPELEBYONG",76.03
85,"KAPELEBYONG",76.03
86,"KASESE",84.19
87,"KASESE",84.19
88,"KASSANDA",81.57
89,"KASSANDA",81.57
90,"KATAKWI",52.37
91,"KATAKWI",52.37
92,"KAYUNGA",86.08
93,"KAYUNGA",86.08
94,"KIBAALE",68.84
95,"KIBOGA",91.01
96,"KIBOGA",91.01
97,"KIBUKU",86.75
98,"KIKUUBE",94.83
99,"KIKUUBE",94.83
100,"KIRUHURA",74.59
101,"KIRUHURA",74.59
102,"KIRYANDONGO",66.68
103,"KIRYANDONGO",66.68
104,"KISORO",78.31
105,"KISORO",78.31
106,"KITGUM",52.88
107,"KITGUM",52.88
108,"KOBOKO",80.06
109,"KOBOKO",80.06
110,"KOLE",89.09
111,"KOLE",89.09
112,"KOTIDO",62.8
113,"KOTIDO",62.8
114,"KUMI",66.21
115,"KUMI",66.21
116,"KWANIA",89.89
117,"KWANIA",89.89
118,"KWEEN",70.11
119,"KYANKWANZI",96.39
120,"KYANKWANZI",96.39
121,"KYEGEGWA",97.46
122,"KYEGEGWA",97.46
123,"KYENJOJO",92.65
124,"KYENJOJO",92.65
125,"KYOTERA",86.98
126,"KYOTERA",86.98
127,"LAMWO",43.44
128,"LIRA",78.01
129,"LIRA",78.01
130,"LUUKA",83.35
131,"LUUKA",83.35
132,"LUWERO",93.22
133,"LUWERO",93.22
134,"LWENGO",88.78
135,"LWENGO",88.78
136,"LYANTONDE",100
137,"MANAFWA",75.86
138,"MANAFWA",75.86
139,"MARACHA",86.36
140,"MARACHA",86.36
141,"MASAKA",94.62
142,"MASAKA",94.62
143,"MASINDI",80.45
144,"MASINDI",80.45
145,"MAYUGE",76.85
146,"MAYUGE",76.85
147,"MBALE",89.63
148,"MBALE",89.63
149,"MBARARA",76.33
150,"MBARARA",76.33
151,"MITOOMA",84.87
152,"MITOOMA",84.87
153,"MITYANA",94.41
154,"MITYANA",94.41
155,"MOROTO",48.4
156,"MOROTO",48.4
157,"MOYO",88.43
158,"MOYO",88.43
159,"MPIGI",94.39
160,"MPIGI",94.39
161,"MUBENDE",83.71
162,"MUBENDE",83.71
163,"MUKONO",84.21
164,"MUKONO",84.21
165,"NABILATUK",67.38
166,"NABILATUK",67.38
167,"NAKAPIRIPIRIT",74.65
168,"NAKAPIRIPIRIT",74.65
169,"NAKASEKE",96.86
170,"NAKASEKE",96.86
171,"NAMAYINGO",80.69
172,"NAMAYINGO",80.69
173,"NAMISINDWA",89.44
174,"NAMISINDWA",89.44
175,"NAMTUMBA",80.37
176,"NAMUTUMBA",67
177,"NAMUTUMBA",67
178,"NAPAK",62.39
179,"NAPAK",62.39
180,"NEBBI",75.82
181,"NEBBI",75.82
182,"NGORA",100
183,"NTOROKO",82.92
184,"NTOROKO",82.92
185,"NTUNGAMO",81.52
186,"NTUNGAMO",81.52
187,"NWOYA",52.07
188,"OMORO",72.03
189,"OMORO",72.03
190,"OTUKE",89.39
191,"OTUKE",89.39
192,"OYAM",87.74
193,"OYAM",87.74
194,"PADER",50.13
195,"PADER",50.13
196,"PAKWACH",84.12
197,"PAKWACH",84.12
198,"PALISA",100
199,"PALLISA",64.23
200,"PALLISA",64.23
201,"RAKAI",91.22
202,"RAKAI",91.22
203,"RUBANDA",100
204,"RUKIGA",74.61
205,"RUKIGA",74.61
206,"RUKINGIRI",100
207,"RUKUNGIRI",77.83
208,"RUKUNGIRI",77.83
209,"SERERE",58.04
210,"SERERE",58.04
211,"SHEEMA",84.87
212,"SHEEMA",84.87
213,"SIRONKO",79.74
214,"SIRONKO",79.74
215,"SOROTI",69.44
216,"SOROTI",69.44
217,"SSEMBABULE",88.81
218,"SSEMBABULE",88.81
219,"TORORO",88.52
220,"TORORO",88.52
221,"WAKISO",87.04
222,"WAKISO",87.04
223,"YUMBE",53.85
224,"YUMBE",53.85
225,"ZOMBO",88.29
226,"ZOMBO",88.29
