"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",81.61
1,"ABIM",81.61
2,"ADJUMANI",100
3,"AGAGO",89.48
4,"AGAGO",89.48
5,"ALEBTONG",67.8
6,"ALEBTONG",67.8
7,"AMOLATAR",64.28
8,"AMOLATAR",64.28
9,"AMUDAT",89.8
10,"AMUDAT",89.8
11,"AMURU",76.12
12,"APAC",85.03
13,"APAC",85.03
14,"ARUA",89.76
15,"ARUA",89.76
16,"BUDUDA",91.85
17,"BUDUDA",91.85
18,"BUGIRI",85.29
19,"BUGIRI",85.29
20,"BUGWERI",100
21,"BUHWEJU",98.75
22,"BUHWEJU",98.75
23,"BUIKWE",79.04
24,"BUIKWE",79.04
25,"BUKEDEA",91.05
26,"BUKEDEA",91.05
27,"BUKOMANSIMBI",90.29
28,"BUKOMANSIMBI",90.29
29,"BULAMBULI",88.15
30,"BULAMBULI",88.15
31,"BUNYANGABU",98.71
32,"BUNYANGABU",98.71
33,"BUSHENYI",96.75
34,"BUSHENYI",96.75
35,"BUSIA",91.3
36,"BUSIA",91.3
37,"BUTALEJA",81.74
38,"BUTALEJA",81.74
39,"BUTAMBALA",86.93
40,"BUTAMBALA",86.93
41,"BUTEBO",70.76
42,"BUVUMA",60.76
43,"BUVUMA",60.76
44,"BUYENDE",79.37
45,"BUYENDE",79.37
46,"DOKOLO",67.85
47,"DOKOLO",67.85
48,"GULU",78.88
49,"GULU",78.88
50,"HOIMA",92.51
51,"HOIMA",92.51
52,"IBANDA",96.22
53,"IBANDA",96.22
54,"IGANGA",86.12
55,"IGANGA",86.12
56,"ISINGIRO",96.58
57,"ISINGIRO",96.58
58,"JINJA",87.43
59,"JINJA",87.43
60,"KAABONG",86.14
61,"KAABONG",86.14
62,"KABALE",97.19
63,"KABALE",97.19
64,"KABAROLE",96.48
65,"KABAROLE",96.48
66,"KAGADI",94.58
67,"KAGADI",94.58
68,"KAKUMIRO",98.01
69,"KAKUMIRO",98.01
70,"KALANGALA",100
71,"KALIRO",91.48
72,"KALIRO",91.48
73,"KALUNGU",85.5
74,"KALUNGU",85.5
75,"KAMPALA",91.44
76,"KAMPALA",91.44
77,"KAMULI",70.63
78,"KAMULI",70.63
79,"KAMWENGE",81.64
80,"KAMWENGE",81.64
81,"KANUNGU",96.08
82,"KANUNGU",96.08
83,"KAPCHORWA",100
84,"KAPELEBYONG",84.58
85,"KAPELEBYONG",84.58
86,"KASESE",96.18
87,"KASESE",96.18
88,"KASSANDA",81.86
89,"KASSANDA",81.86
90,"KATAKWI",78.63
91,"KATAKWI",78.63
92,"KAYUNGA",92.32
93,"KAYUNGA",92.32
94,"KIBAALE",100
95,"KIBOGA",99.31
96,"KIBOGA",99.31
97,"KIBUKU",100
98,"KIKUUBE",96.72
99,"KIKUUBE",96.72
100,"KIRUHURA",89.83
101,"KIRUHURA",89.83
102,"KIRYANDONGO",100
103,"KIRYANDONGO",100
104,"KISORO",86.95
105,"KISORO",86.95
106,"KITGUM",56.78
107,"KITGUM",56.78
108,"KOBOKO",82.68
109,"KOBOKO",82.68
110,"KOLE",85.75
111,"KOLE",85.75
112,"KOTIDO",75.27
113,"KOTIDO",75.27
114,"KUMI",84.91
115,"KUMI",84.91
116,"KWANIA",94.63
117,"KWANIA",94.63
118,"KWEEN",92.95
119,"KYANKWANZI",93.95
120,"KYANKWANZI",93.95
121,"KYEGEGWA",96.28
122,"KYEGEGWA",96.28
123,"KYENJOJO",97.13
124,"KYENJOJO",97.13
125,"KYOTERA",95.21
126,"KYOTERA",95.21
127,"LAMWO",72.37
128,"LIRA",87.1
129,"LIRA",87.1
130,"LUUKA",78.28
131,"LUUKA",78.28
132,"LUWERO",96.91
133,"LUWERO",96.91
134,"LWENGO",95.47
135,"LWENGO",95.47
136,"LYANTONDE",100
137,"MANAFWA",76.77
138,"MANAFWA",76.77
139,"MARACHA",86.04
140,"MARACHA",86.04
141,"MASAKA",88.64
142,"MASAKA",88.64
143,"MASINDI",98.58
144,"MASINDI",98.58
145,"MAYUGE",74.47
146,"MAYUGE",74.47
147,"MBALE",94.57
148,"MBALE",94.57
149,"MBARARA",91.49
150,"MBARARA",91.49
151,"MITOOMA",100
152,"MITOOMA",100
153,"MITYANA",84.32
154,"MITYANA",84.32
155,"MOROTO",61.29
156,"MOROTO",61.29
157,"MOYO",89.2
158,"MOYO",89.2
159,"MPIGI",98.13
160,"MPIGI",98.13
161,"MUBENDE",84.2
162,"MUBENDE",84.2
163,"MUKONO",85.62
164,"MUKONO",85.62
165,"NABILATUK",90.93
166,"NABILATUK",90.93
167,"NAKAPIRIPIRIT",86.47
168,"NAKAPIRIPIRIT",86.47
169,"NAKASEKE",98.35
170,"NAKASEKE",98.35
171,"NAMAYINGO",74.98
172,"NAMAYINGO",74.98
173,"NAMISINDWA",86.63
174,"NAMISINDWA",86.63
175,"NAMTUMBA",79.48
176,"NAMUTUMBA",88.66
177,"NAMUTUMBA",88.66
178,"NAPAK",74.87
179,"NAPAK",74.87
180,"NEBBI",80.74
181,"NEBBI",80.74
182,"NGORA",100
183,"NTOROKO",100
184,"NTOROKO",100
185,"NTUNGAMO",91.35
186,"NTUNGAMO",91.35
187,"NWOYA",65.18
188,"OMORO",86.56
189,"OMORO",86.56
190,"OTUKE",84.84
191,"OTUKE",84.84
192,"OYAM",85.9
193,"OYAM",85.9
194,"PADER",55.9
195,"PADER",55.9
196,"PAKWACH",87.68
197,"PAKWACH",87.68
198,"PALISA",100
199,"PALLISA",62.78
200,"PALLISA",62.78
201,"RAKAI",94.44
202,"RAKAI",94.44
203,"RUBANDA",88.43
204,"RUKIGA",85.52
205,"RUKIGA",85.52
206,"RUKINGIRI",100
207,"RUKUNGIRI",90.45
208,"RUKUNGIRI",90.45
209,"SERERE",65.48
210,"SERERE",65.48
211,"SHEEMA",97.56
212,"SHEEMA",97.56
213,"SIRONKO",71.5
214,"SIRONKO",71.5
215,"SOROTI",94.55
216,"SOROTI",94.55
217,"SSEMBABULE",89.47
218,"SSEMBABULE",89.47
219,"TORORO",86.77
220,"TORORO",86.77
221,"WAKISO",90.8
222,"WAKISO",90.8
223,"YUMBE",56.82
224,"YUMBE",56.82
225,"ZOMBO",86.13
226,"ZOMBO",86.13
