"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",64.11
1,"ABIM",64.11
2,"ADJUMANI",55.1
3,"AGAGO",86.58
4,"AGAGO",86.58
5,"ALEBTONG",67.91
6,"ALEBTONG",67.91
7,"AMOLATAR",65.99
8,"AMOLATAR",65.99
9,"AMUDAT",82.47
10,"AMUDAT",82.47
11,"AMURU",63.29
12,"APAC",78.68
13,"APAC",78.68
14,"ARUA",87.43
15,"ARUA",87.43
16,"BUDUDA",86.67
17,"BUDUDA",86.67
18,"BUGIRI",80.25
19,"BUGIRI",80.25
20,"BUGWERI",100
21,"BUHWEJU",89.82
22,"BUHWEJU",89.82
23,"BUIKWE",81.55
24,"BUIKWE",81.55
25,"BUKEDEA",72.1
26,"BUKEDEA",72.1
27,"BUKOMANSIMBI",73.4
28,"BUKOMANSIMBI",73.4
29,"BULAMBULI",72.01
30,"BULAMBULI",72.01
31,"BUNYANGABU",86.64
32,"BUNYANGABU",86.64
33,"BUSHENYI",90.79
34,"BUSHENYI",90.79
35,"BUSIA",83.36
36,"BUSIA",83.36
37,"BUTALEJA",71.45
38,"BUTALEJA",71.45
39,"BUTAMBALA",82.38
40,"BUTAMBALA",82.38
41,"BUTEBO",66.86
42,"BUVUMA",45.91
43,"BUVUMA",45.91
44,"BUYENDE",81.48
45,"BUYENDE",81.48
46,"DOKOLO",74.4
47,"DOKOLO",74.4
48,"GULU",70.14
49,"GULU",70.14
50,"HOIMA",91.04
51,"HOIMA",91.04
52,"IBANDA",88.7
53,"IBANDA",88.7
54,"IGANGA",91.92
55,"IGANGA",91.92
56,"ISINGIRO",87.61
57,"ISINGIRO",87.61
58,"JINJA",83.76
59,"JINJA",83.76
60,"KAABONG",77.75
61,"KAABONG",77.75
62,"KABALE",94.64
63,"KABALE",94.64
64,"KABAROLE",96.16
65,"KABAROLE",96.16
66,"KAGADI",89.89
67,"KAGADI",89.89
68,"KAKUMIRO",93.6
69,"KAKUMIRO",93.6
70,"KALANGALA",100
71,"KALIRO",84.76
72,"KALIRO",84.76
73,"KALUNGU",83.06
74,"KALUNGU",83.06
75,"KAMPALA",85.99
76,"KAMPALA",85.99
77,"KAMULI",77.51
78,"KAMULI",77.51
79,"KAMWENGE",82.54
80,"KAMWENGE",82.54
81,"KANUNGU",86.34
82,"KANUNGU",86.34
83,"KAPCHORWA",100
84,"KAPELEBYONG",73.75
85,"KAPELEBYONG",73.75
86,"KASESE",84.62
87,"KASESE",84.62
88,"KASSANDA",77.68
89,"KASSANDA",77.68
90,"KATAKWI",67.87
91,"KATAKWI",67.87
92,"KAYUNGA",84.11
93,"KAYUNGA",84.11
94,"KIBAALE",100
95,"KIBOGA",97.11
96,"KIBOGA",97.11
97,"KIBUKU",80.64
98,"KIKUUBE",92.97
99,"KIKUUBE",92.97
100,"KIRUHURA",82.79
101,"KIRUHURA",82.79
102,"KIRYANDONGO",67.12
103,"KIRYANDONGO",67.12
104,"KISORO",75.24
105,"KISORO",75.24
106,"KITGUM",57.19
107,"KITGUM",57.19
108,"KOBOKO",83.08
109,"KOBOKO",83.08
110,"KOLE",78.17
111,"KOLE",78.17
112,"KOTIDO",73.03
113,"KOTIDO",73.03
114,"KUMI",71.45
115,"KUMI",71.45
116,"KWANIA",92.5
117,"KWANIA",92.5
118,"KWEEN",64.1
119,"KYANKWANZI",93.74
120,"KYANKWANZI",93.74
121,"KYEGEGWA",95.25
122,"KYEGEGWA",95.25
123,"KYENJOJO",95.4
124,"KYENJOJO",95.4
125,"KYOTERA",84.24
126,"KYOTERA",84.24
127,"LAMWO",50.97
128,"LIRA",72.49
129,"LIRA",72.49
130,"LUUKA",81.74
131,"LUUKA",81.74
132,"LUWERO",85.08
133,"LUWERO",85.08
134,"LWENGO",88.58
135,"LWENGO",88.58
136,"LYANTONDE",96.77
137,"MANAFWA",75.38
138,"MANAFWA",75.38
139,"MARACHA",83.48
140,"MARACHA",83.48
141,"MASAKA",88.19
142,"MASAKA",88.19
143,"MASINDI",83.45
144,"MASINDI",83.45
145,"MAYUGE",66.22
146,"MAYUGE",66.22
147,"MBALE",93.93
148,"MBALE",93.93
149,"MBARARA",83.52
150,"MBARARA",83.52
151,"MITOOMA",81.32
152,"MITOOMA",81.32
153,"MITYANA",90.98
154,"MITYANA",90.98
155,"MOROTO",53.42
156,"MOROTO",53.42
157,"MOYO",84.07
158,"MOYO",84.07
159,"MPIGI",93.19
160,"MPIGI",93.19
161,"MUBENDE",82.23
162,"MUBENDE",82.23
163,"MUKONO",76.39
164,"MUKONO",76.39
165,"NABILATUK",85.49
166,"NABILATUK",85.49
167,"NAKAPIRIPIRIT",77.18
168,"NAKAPIRIPIRIT",77.18
169,"NAKASEKE",94.62
170,"NAKASEKE",94.62
171,"NAMAYINGO",76.3
172,"NAMAYINGO",76.3
173,"NAMISINDWA",87.22
174,"NAMISINDWA",87.22
175,"NAMTUMBA",57.3
176,"NAMUTUMBA",75.62
177,"NAMUTUMBA",75.62
178,"NAPAK",81.56
179,"NAPAK",81.56
180,"NEBBI",78.61
181,"NEBBI",78.61
182,"NGORA",100
183,"NTOROKO",85.39
184,"NTOROKO",85.39
185,"NTUNGAMO",80.94
186,"NTUNGAMO",80.94
187,"NWOYA",36.8
188,"OMORO",67.36
189,"OMORO",67.36
190,"OTUKE",82.96
191,"OTUKE",82.96
192,"OYAM",77.71
193,"OYAM",77.71
194,"PADER",48.58
195,"PADER",48.58
196,"PAKWACH",72.29
197,"PAKWACH",72.29
198,"PALISA",98.3
199,"PALLISA",67.9
200,"PALLISA",67.9
201,"RAKAI",89.74
202,"RAKAI",89.74
203,"RUBANDA",90.86
204,"RUKIGA",76.78
205,"RUKIGA",76.78
206,"RUKINGIRI",100
207,"RUKUNGIRI",81.42
208,"RUKUNGIRI",81.42
209,"SERERE",60.28
210,"SERERE",60.28
211,"SHEEMA",94.48
212,"SHEEMA",94.48
213,"SIRONKO",69.28
214,"SIRONKO",69.28
215,"SOROTI",83.06
216,"SOROTI",83.06
217,"SSEMBABULE",86.86
218,"SSEMBABULE",86.86
219,"TORORO",88.55
220,"TORORO",88.55
221,"WAKISO",85.33
222,"WAKISO",85.33
223,"YUMBE",57.4
224,"YUMBE",57.4
225,"ZOMBO",84.39
226,"ZOMBO",84.39
