"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",85.43
1,"ABIM",85.43
2,"ADJUMANI",100
3,"AGAGO",96.51
4,"AGAGO",96.51
5,"ALEBTONG",90.96
6,"ALEBTONG",90.96
7,"AMOLATAR",99.06
8,"AMOLATAR",99.06
9,"AMUDAT",76.28
10,"AMUDAT",76.28
11,"AMURU",69.36
12,"APAC",95.04
13,"APAC",95.04
14,"ARUA",91.82
15,"ARUA",91.82
16,"BUDUDA",98.77
17,"BUDUDA",98.77
18,"BUGIRI",99.38
19,"BUGIRI",99.38
20,"BUGWERI",84.68
21,"BUHWEJU",100
22,"BUHWEJU",100
23,"BUIKWE",98.59
24,"BUIKWE",98.59
25,"BUKEDEA",90.32
26,"BUKEDEA",90.32
27,"BUKOMANSIMBI",95.46
28,"BUKOMANSIMBI",95.46
29,"BULAMBULI",98.26
30,"BULAMBULI",98.26
31,"BUNYANGABU",100
32,"BUNYANGABU",100
33,"BUSHENYI",100
34,"BUSHENYI",100
35,"BUSIA",95.46
36,"BUSIA",95.46
37,"BUTALEJA",98.54
38,"BUTALEJA",98.54
39,"BUTAMBALA",100
40,"BUTAMBALA",100
41,"BUTEBO",100
42,"BUVUMA",71.14
43,"BUVUMA",71.14
44,"BUYENDE",99.95
45,"BUYENDE",99.95
46,"DOKOLO",97.62
47,"DOKOLO",97.62
48,"GULU",81.27
49,"GULU",81.27
50,"HOIMA",99.49
51,"HOIMA",99.49
52,"IBANDA",99.76
53,"IBANDA",99.76
54,"IGANGA",97.35
55,"IGANGA",97.35
56,"ISINGIRO",99.97
57,"ISINGIRO",99.97
58,"JINJA",99.1
59,"JINJA",99.1
60,"KAABONG",81.65
61,"KAABONG",81.65
62,"KABALE",100
63,"KABALE",100
64,"KABAROLE",98.53
65,"KABAROLE",98.53
66,"KAGADI",99.53
67,"KAGADI",99.53
68,"KAKUMIRO",100
69,"KAKUMIRO",100
70,"KALANGALA",100
71,"KALIRO",100
72,"KALIRO",100
73,"KALUNGU",100
74,"KALUNGU",100
75,"KAMPALA",97.39
76,"KAMPALA",97.39
77,"KAMULI",88.92
78,"KAMULI",88.92
79,"KAMWENGE",100
80,"KAMWENGE",100
81,"KANUNGU",100
82,"KANUNGU",100
83,"KAPCHORWA",100
84,"KAPELEBYONG",96.94
85,"KAPELEBYONG",96.94
86,"KASESE",96.41
87,"KASESE",96.41
88,"KASSANDA",100
89,"KASSANDA",100
90,"KATAKWI",77.37
91,"KATAKWI",77.37
92,"KAYUNGA",100
93,"KAYUNGA",100
94,"KIBAALE",100
95,"KIBOGA",100
96,"KIBOGA",100
97,"KIBUKU",100
98,"KIKUUBE",97.33
99,"KIKUUBE",97.33
100,"KIRUHURA",99.34
101,"KIRUHURA",99.34
102,"KIRYANDONGO",99.27
103,"KIRYANDONGO",99.27
104,"KISORO",99.39
105,"KISORO",99.39
106,"KITGUM",79.78
107,"KITGUM",79.78
108,"KOBOKO",88.41
109,"KOBOKO",88.41
110,"KOLE",94.37
111,"KOLE",94.37
112,"KOTIDO",85.42
113,"KOTIDO",85.42
114,"KUMI",86.34
115,"KUMI",86.34
116,"KWANIA",100
117,"KWANIA",100
118,"KWEEN",91.65
119,"KYANKWANZI",100
120,"KYANKWANZI",100
121,"KYEGEGWA",100
122,"KYEGEGWA",100
123,"KYENJOJO",100
124,"KYENJOJO",100
125,"KYOTERA",100
126,"KYOTERA",100
127,"LAMWO",59.62
128,"LIRA",89.14
129,"LIRA",89.14
130,"LUUKA",91.15
131,"LUUKA",91.15
132,"LUWERO",99.75
133,"LUWERO",99.75
134,"LWENGO",98.88
135,"LWENGO",98.88
136,"LYANTONDE",100
137,"MANAFWA",90.96
138,"MANAFWA",90.96
139,"MARACHA",95.87
140,"MARACHA",95.87
141,"MASAKA",100
142,"MASAKA",100
143,"MASINDI",92.79
144,"MASINDI",92.79
145,"MAYUGE",95.61
146,"MAYUGE",95.61
147,"MBALE",96.75
148,"MBALE",96.75
149,"MBARARA",97.05
150,"MBARARA",97.05
151,"MITOOMA",100
152,"MITOOMA",100
153,"MITYANA",100
154,"MITYANA",100
155,"MOROTO",74.89
156,"MOROTO",74.89
157,"MOYO",92.83
158,"MOYO",92.83
159,"MPIGI",98.61
160,"MPIGI",98.61
161,"MUBENDE",91.27
162,"MUBENDE",91.27
163,"MUKONO",100
164,"MUKONO",100
165,"NABILATUK",82.09
166,"NABILATUK",82.09
167,"NAKAPIRIPIRIT",90.72
168,"NAKAPIRIPIRIT",90.72
169,"NAKASEKE",100
170,"NAKASEKE",100
171,"NAMAYINGO",96.27
172,"NAMAYINGO",96.27
173,"NAMISINDWA",98.45
174,"NAMISINDWA",98.45
175,"NAMTUMBA",100
176,"NAMUTUMBA",100
177,"NAMUTUMBA",100
178,"NAPAK",78.63
179,"NAPAK",78.63
180,"NEBBI",95.84
181,"NEBBI",95.84
182,"NGORA",100
183,"NTOROKO",100
184,"NTOROKO",100
185,"NTUNGAMO",99.95
186,"NTUNGAMO",99.95
187,"NWOYA",63.97
188,"OMORO",79.3
189,"OMORO",79.3
190,"OTUKE",95.97
191,"OTUKE",95.97
192,"OYAM",89.68
193,"OYAM",89.68
194,"PADER",83.14
195,"PADER",83.14
196,"PAKWACH",81.86
