"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"ABIM",92.35
1,"ABIM",92.35
2,"ADJUMANI",94.15
3,"AGAGO",100
4,"AGAGO",100
5,"ALEBTONG",100
6,"ALEBTONG",100
7,"AMOLATAR",99.34
8,"AMOLATAR",99.34
9,"AMUDAT",73.85
10,"AMUDAT",73.85
11,"AMURU",100
12,"APAC",99.78
13,"APAC",99.78
14,"ARUA",95.74
15,"ARUA",95.74
16,"BUDUDA",96.73
17,"BUDUDA",96.73
18,"BUGIRI",100
19,"BUGIRI",100
20,"BUGWERI",100
21,"BUHWEJU",100
22,"BUHWEJU",100
23,"BUIKWE",100
24,"BUIKWE",100
25,"BUKEDEA",100
26,"BUKEDEA",100
27,"BUKOMANSIMBI",96.93
28,"BUKOMANSIMBI",96.93
29,"BULAMBULI",100
30,"BULAMBULI",100
31,"BUNYANGABU",100
32,"BUNYANGABU",100
33,"BUSHENYI",100
34,"BUSHENYI",100
35,"BUSIA",99.51
36,"BUSIA",99.51
37,"BUTALEJA",100
38,"BUTALEJA",100
39,"BUTAMBALA",100
40,"BUTAMBALA",100
41,"BUTEBO",100
42,"BUVUMA",100
43,"BUVUMA",100
44,"BUYENDE",100
45,"BUYENDE",100
46,"DOKOLO",100
47,"DOKOLO",100
48,"GULU",96.54
49,"GULU",96.54
50,"HOIMA",100
51,"HOIMA",100
52,"IBANDA",100
53,"IBANDA",100
54,"IGANGA",100
55,"IGANGA",100
56,"ISINGIRO",100
57,"ISINGIRO",100
58,"JINJA",99.18
59,"JINJA",99.18
60,"KAABONG",91.55
61,"KAABONG",91.55
62,"KABALE",100
63,"KABALE",100
64,"KABAROLE",98.11
65,"KABAROLE",98.11
66,"KAGADI",100
67,"KAGADI",100
68,"KAKUMIRO",100
69,"KAKUMIRO",100
70,"KALANGALA",100
71,"KALIRO",100
72,"KALIRO",100
73,"KALUNGU",99.58
74,"KALUNGU",99.58
75,"KAMPALA",95.73
76,"KAMPALA",95.73
77,"KAMULI",92.35
78,"KAMULI",92.35
79,"KAMWENGE",100
80,"KAMWENGE",100
81,"KANUNGU",100
82,"KANUNGU",100
83,"KAPCHORWA",100
84,"KAPELEBYONG",99.78
85,"KAPELEBYONG",99.78
86,"KASESE",100
87,"KASESE",100
88,"KASSANDA",100
89,"KASSANDA",100
90,"KATAKWI",96.68
91,"KATAKWI",96.68
92,"KAYUNGA",100
93,"KAYUNGA",100
94,"KIBAALE",100
95,"KIBOGA",100
96,"KIBOGA",100
97,"KIBUKU",100
98,"KIKUUBE",100
99,"KIKUUBE",100
100,"KIRUHURA",100
101,"KIRUHURA",100
102,"KIRYANDONGO",100
103,"KIRYANDONGO",100
104,"KISORO",100
105,"KISORO",100
106,"KITGUM",87.08
107,"KITGUM",87.08
108,"KOBOKO",94.29
109,"KOBOKO",94.29
110,"KOLE",100
111,"KOLE",100
112,"KOTIDO",97.48
113,"KOTIDO",97.48
114,"KUMI",98.49
115,"KUMI",98.49
116,"KWANIA",100
117,"KWANIA",100
118,"KWEEN",95.83
119,"KYANKWANZI",100
120,"KYANKWANZI",100
121,"KYEGEGWA",100
122,"KYEGEGWA",100
123,"KYENJOJO",100
124,"KYENJOJO",100
125,"KYOTERA",100
126,"KYOTERA",100
127,"LAMWO",9.05
128,"LIRA",95.8
129,"LIRA",95.8
130,"LUUKA",100
131,"LUUKA",100
132,"LUWERO",100
133,"LUWERO",100
134,"LWENGO",98.61
135,"LWENGO",98.61
136,"LYANTONDE",100
137,"MANAFWA",98.8
138,"MANAFWA",98.8
139,"MARACHA",100
140,"MARACHA",100
141,"MASAKA",100
142,"MASAKA",100
143,"MASINDI",100
144,"MASINDI",100
145,"MAYUGE",98.48
146,"MAYUGE",98.48
147,"MBALE",97.4
148,"MBALE",97.4
149,"MBARARA",96.6
150,"MBARARA",96.6
151,"MITOOMA",100
152,"MITOOMA",100
153,"MITYANA",100
154,"MITYANA",100
155,"MOROTO",94.16
156,"MOROTO",94.16
157,"MOYO",97.99
158,"MOYO",97.99
159,"MPIGI",99.61
160,"MPIGI",99.61
161,"MUBENDE",90.92
162,"MUBENDE",90.92
163,"MUKONO",100
164,"MUKONO",100
165,"NABILATUK",100
166,"NABILATUK",100
167,"NAKAPIRIPIRIT",97.83
168,"NAKAPIRIPIRIT",97.83
169,"NAKASEKE",100
170,"NAKASEKE",100
171,"NAMAYINGO",100
172,"NAMAYINGO",100
173,"NAMISINDWA",99.28
174,"NAMISINDWA",99.28
175,"NAMTUMBA",100
